
| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| 120 | 330M (4) | XArray + 50 t chunks | **2.321** | 4.118 | 4.786 |
| 120 | 330M (4) | XArray + 20 t chunks | **2.206** | 2.878 | 5.009 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 120 | 330M (4) | Julia | **9.707** | 8.682 | 0.796 |
| 120 | 330M (4) | CDO | **9.084** | 4.386 | 9.844 |
| 120 | 330M (4) | CDO + serial IO | **4.735** | 3.259 | 3.606 |
| 120 | 330M (4) | NCL | **13.935** | 10.892 | 1.520 |
| 120 | 330M (4) | NCO | **18.684** | 15.581 | 1.510 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 180 | 742M (3) | XArray + no dask | **4.914** | 3.328 | 1.809 |
| 180 | 742M (3) | XArray + 1000 t chunks | **3.399** | 6.015 | 3.833 |
| 180 | 742M (3) | XArray + 200 t chunks | **3.452** | 5.424 | 5.157 |
| 180 | 742M (3) | XArray + 100 t chunks | **3.109** | 5.884 | 6.267 |
| 180 | 742M (3) | XArray + 50 t chunks | **3.266** | 5.693 | 6.147 |
| 180 | 742M (3) | XArray + 20 t chunks | **3.591** | 5.726 | 7.023 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 180 | 742M (3) | Julia | **17.755** | 11.294 | 2.012 |
| 180 | 742M (3) | CDO | **7.725** | 6.317 | 6.374 |
| 180 | 742M (3) | CDO + serial IO | **7.321** | 5.714 | 3.501 |
| 180 | 742M (3) | NCL | **18.497** | 15.741 | 2.351 |
| 180 | 742M (3) | NCO | **21.434** | 18.521 | 2.797 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 180 | 742M (4) | XArray + no dask | **4.933** | 2.839 | 1.845 |
| 180 | 742M (4) | XArray + 1000 t chunks | **4.363** | 5.000 | 4.765 |
| 180 | 742M (4) | XArray + 200 t chunks | **2.699** | 4.426 | 5.601 |
| 180 | 742M (4) | XArray + 100 t chunks | **2.473** | 5.026 | 5.600 |
| 180 | 742M (4) | XArray + 50 t chunks | **2.499** | 4.960 | 6.446 |
| 180 | 742M (4) | XArray + 20 t chunks | **2.321** | 3.497 | 6.500 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 180 | 742M (4) | Julia | **13.756** | 11.500 | 1.530 |
| 180 | 742M (4) | CDO | **5.803** | 4.030 | 6.082 |
| 180 | 742M (4) | CDO + serial IO | **3.555** | 3.243 | 2.472 |
| 180 | 742M (4) | NCL | **16.468** | 14.395 | 1.870 |
| 180 | 742M (4) | NCO | **20.619** | 18.013 | 2.540 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 240 | 1.3G (3) | XArray + no dask | **6.412** | 3.851 | 2.281 |
| 240 | 1.3G (3) | XArray + 1000 t chunks | **5.075** | 7.799 | 5.497 |
| 240 | 1.3G (3) | XArray + 200 t chunks | **4.486** | 9.304 | 7.782 |
| 240 | 1.3G (3) | XArray + 100 t chunks | **4.405** | 8.505 | 11.017 |
| 240 | 1.3G (3) | XArray + 50 t chunks | **4.296** | 8.347 | 12.335 |
| 240 | 1.3G (3) | XArray + 20 t chunks | **4.309** | 8.501 | 13.294 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 240 | 1.3G (3) | Julia | **27.056** | 15.799 | 3.570 |
| 240 | 1.3G (3) | CDO | **6.023** | 9.904 | 5.008 |
| 240 | 1.3G (3) | CDO + serial IO | **7.731** | 7.938 | 2.989 |
| 240 | 1.3G (3) | NCL | **34.025** | 27.370 | 4.687 |
| 240 | 1.3G (3) | NCO | **38.321** | 32.955 | 4.922 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 240 | 1.3G (4) | XArray + no dask | **6.743** | 3.171 | 2.721 |
| 240 | 1.3G (4) | XArray + 1000 t chunks | **4.492** | 7.354 | 5.557 |
| 240 | 1.3G (4) | XArray + 200 t chunks | **3.661** | 7.658 | 8.360 |
| 240 | 1.3G (4) | XArray + 100 t chunks | **3.671** | 8.531 | 8.722 |
| 240 | 1.3G (4) | XArray + 50 t chunks | **3.711** | 8.248 | 9.688 |
| 240 | 1.3G (4) | XArray + 20 t chunks | **3.493** | 6.809 | 10.690 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 240 | 1.3G (4) | Julia | **19.644** | 15.979 | 2.326 |
| 240 | 1.3G (4) | CDO | **7.126** | 6.544 | 5.970 |
| 240 | 1.3G (4) | CDO + serial IO | **5.631** | 6.185 | 3.178 |
| 240 | 1.3G (4) | NCL | **32.299** | 26.008 | 4.757 |
| 240 | 1.3G (4) | NCO | **36.082** | 31.639 | 4.381 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 360 | 2.9G (3) | XArray + no dask | **20.444** | 7.523 | 7.504 |
| 360 | 2.9G (3) | XArray + 1000 t chunks | **18.417** | 13.535 | 11.109 |
| 360 | 2.9G (3) | XArray + 200 t chunks | **10.261** | 15.328 | 14.876 |
| 360 | 2.9G (3) | XArray + 100 t chunks | **8.398** | 19.395 | 18.011 |
| 360 | 2.9G (3) | XArray + 50 t chunks | **8.833** | 19.087 | 25.503 |
| 360 | 2.9G (3) | XArray + 20 t chunks | **8.481** | 18.571 | 27.829 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 360 | 2.9G (3) | Julia | **47.591** | 28.088 | 8.230 |
| 360 | 2.9G (3) | CDO | **8.505** | 22.760 | 4.508 |
| 360 | 2.9G (3) | CDO + serial IO | **14.390** | 17.319 | 3.711 |
| 360 | 2.9G (3) | NCL | **75.075** | 60.429 | 12.742 |
| 360 | 2.9G (3) | NCO | **89.726** | 73.230 | 11.331 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 360 | 2.9G (4) | XArray + no dask | **13.629** | 5.571 | 6.590 |
| 360 | 2.9G (4) | XArray + 1000 t chunks | **13.873** | 13.533 | 16.492 |
| 360 | 2.9G (4) | XArray + 200 t chunks | **7.426** | 15.426 | 14.880 |
| 360 | 2.9G (4) | XArray + 100 t chunks | **7.259** | 17.061 | 18.075 |
| 360 | 2.9G (4) | XArray + 50 t chunks | **6.937** | 17.005 | 21.583 |
| 360 | 2.9G (4) | XArray + 20 t chunks | **6.877** | 15.964 | 21.596 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 360 | 2.9G (4) | Julia | **41.456** | 29.505 | 8.050 |
| 360 | 2.9G (4) | CDO | **7.689** | 13.465 | 5.583 |
| 360 | 2.9G (4) | CDO + serial IO | **7.746** | 13.223 | 3.845 |
| 360 | 2.9G (4) | NCL | **85.742** | 60.319 | 19.346 |
| 360 | 2.9G (4) | NCO | **86.666** | 73.345 | 11.099 |
