
| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 7.4M (3) | XArray + no dask | **2.544** | 1.216 | 0.679 |
| 18 | 7.4M (3) | XArray + 1000 t chunks | **1.110** | 1.105 | 1.259 |
| 18 | 7.4M (3) | XArray + 200 t chunks | **1.097** | 0.876 | 0.170 |
| 18 | 7.4M (3) | XArray + 100 t chunks | **1.107** | 0.904 | 0.174 |
| 18 | 7.4M (3) | XArray + 50 t chunks | **1.088** | 0.929 | 0.191 |
| 18 | 7.4M (3) | XArray + 20 t chunks | **1.303** | 1.062 | 0.227 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 7.4M (3) | Julia | **5.777** | 5.732 | 0.283 |
| 18 | 7.4M (3) | CDO | **6.310** | 1.001 | 6.335 |
| 18 | 7.4M (3) | CDO + serial IO | **2.962** | 0.677 | 3.154 |
| 18 | 7.4M (3) | NCL | **0.634** | 0.319 | 0.102 |
| 18 | 7.4M (3) | NCO | **0.264** | 0.194 | 0.036 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 7.6M (4) | XArray + no dask | **1.827** | 1.213 | 0.314 |
| 18 | 7.6M (4) | XArray + 1000 t chunks | **1.106** | 1.121 | 1.183 |
| 18 | 7.6M (4) | XArray + 200 t chunks | **1.078** | 0.880 | 0.166 |
| 18 | 7.6M (4) | XArray + 100 t chunks | **1.085** | 0.907 | 0.169 |
| 18 | 7.6M (4) | XArray + 50 t chunks | **1.171** | 0.942 | 0.181 |
| 18 | 7.6M (4) | XArray + 20 t chunks | **1.296** | 1.082 | 0.227 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 7.6M (4) | Julia | **5.791** | 5.680 | 0.296 |
| 18 | 7.6M (4) | CDO | **Error** | **Error** | **Error** |
| 18 | 7.6M (4) | CDO + serial IO | **2.217** | 1.246 | 1.649 |
| 18 | 7.6M (4) | NCL | **0.445** | 0.336 | 0.076 |
| 18 | 7.6M (4) | NCO | **0.307** | 0.254 | 0.033 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 30M (3) | XArray + no dask | **1.804** | 1.634 | 0.362 |
| 36 | 30M (3) | XArray + 1000 t chunks | **1.089** | 1.184 | 1.037 |
| 36 | 30M (3) | XArray + 200 t chunks | **1.098** | 1.429 | 0.626 |
| 36 | 30M (3) | XArray + 100 t chunks | **1.084** | 0.940 | 0.176 |
| 36 | 30M (3) | XArray + 50 t chunks | **1.188** | 0.982 | 0.193 |
| 36 | 30M (3) | XArray + 20 t chunks | **1.307** | 1.113 | 0.239 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 30M (3) | Julia | **6.650** | 5.985 | 0.392 |
| 36 | 30M (3) | CDO | **6.239** | 1.108 | 6.365 |
| 36 | 30M (3) | CDO + serial IO | **2.712** | 0.755 | 2.827 |
| 36 | 30M (3) | NCL | **0.931** | 0.779 | 0.130 |
| 36 | 30M (3) | NCO | **0.852** | 0.756 | 0.082 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 30M (4) | XArray + no dask | **1.821** | 1.650 | 0.378 |
| 36 | 30M (4) | XArray + 1000 t chunks | **1.195** | 1.492 | 1.248 |
| 36 | 30M (4) | XArray + 200 t chunks | **1.103** | 1.265 | 0.708 |
| 36 | 30M (4) | XArray + 100 t chunks | **1.096** | 0.957 | 0.191 |
| 36 | 30M (4) | XArray + 50 t chunks | **1.187** | 0.978 | 0.194 |
| 36 | 30M (4) | XArray + 20 t chunks | **1.306** | 1.131 | 0.239 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 30M (4) | Julia | **6.142** | 5.922 | 0.344 |
| 36 | 30M (4) | CDO | **6.526** | 2.023 | 6.866 |
| 36 | 30M (4) | CDO + serial IO | **2.283** | 1.316 | 1.698 |
| 36 | 30M (4) | NCL | **0.956** | 0.791 | 0.137 |
| 36 | 30M (4) | NCO | **0.934** | 0.819 | 0.099 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 60 | 82M (3) | XArray + no dask | **2.033** | 1.909 | 0.488 |
| 60 | 82M (3) | XArray + 1000 t chunks | **1.312** | 1.624 | 1.543 |
| 60 | 82M (3) | XArray + 200 t chunks | **1.209** | 1.354 | 1.734 |
| 60 | 82M (3) | XArray + 100 t chunks | **1.413** | 2.384 | 2.176 |
| 60 | 82M (3) | XArray + 50 t chunks | **1.200** | 1.092 | 0.208 |
| 60 | 82M (3) | XArray + 20 t chunks | **1.319** | 1.231 | 0.254 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 60 | 82M (3) | Julia | **7.830** | 6.556 | 0.544 |
| 60 | 82M (3) | CDO | **6.043** | 1.373 | 6.239 |
| 60 | 82M (3) | CDO + serial IO | **2.619** | 0.994 | 2.568 |
| 60 | 82M (3) | NCL | **2.188** | 1.873 | 0.284 |
| 60 | 82M (3) | NCO | **2.340** | 2.099 | 0.220 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 60 | 83M (4) | XArray + no dask | **1.875** | 1.771 | 0.464 |
| 60 | 83M (4) | XArray + 1000 t chunks | **1.295** | 1.553 | 1.582 |
| 60 | 83M (4) | XArray + 200 t chunks | **1.202** | 1.220 | 1.764 |
| 60 | 83M (4) | XArray + 100 t chunks | **1.257** | 1.280 | 1.730 |
| 60 | 83M (4) | XArray + 50 t chunks | **1.190** | 1.066 | 0.216 |
| 60 | 83M (4) | XArray + 20 t chunks | **1.309** | 1.218 | 0.257 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 60 | 83M (4) | Julia | **7.017** | 6.615 | 0.428 |
| 60 | 83M (4) | CDO | **6.592** | 2.196 | 6.957 |
| 60 | 83M (4) | CDO + serial IO | **2.429** | 1.483 | 1.781 |
| 60 | 83M (4) | NCL | **2.179** | 1.834 | 0.258 |
| 60 | 83M (4) | NCO | **2.474** | 2.166 | 0.234 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 90 | 185M (3) | XArray + no dask | **4.088** | 2.024 | 0.946 |
| 90 | 185M (3) | XArray + 1000 t chunks | **2.568** | 2.691 | 1.589 |
| 90 | 185M (3) | XArray + 200 t chunks | **2.188** | 2.317 | 2.796 |
| 90 | 185M (3) | XArray + 100 t chunks | **1.857** | 2.216 | 3.628 |
| 90 | 185M (3) | XArray + 50 t chunks | **1.708** | 1.997 | 3.444 |
| 90 | 185M (3) | XArray + 20 t chunks | **1.559** | 1.637 | 0.308 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 90 | 185M (3) | Julia | **10.510** | 7.720 | 0.849 |
| 90 | 185M (3) | CDO | **7.220** | 2.327 | 7.343 |
| 90 | 185M (3) | CDO + serial IO | **4.488** | 2.257 | 3.678 |
| 90 | 185M (3) | NCL | **5.383** | 4.368 | 0.733 |
| 90 | 185M (3) | NCO | **5.376** | 4.675 | 0.526 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 90 | 186M (4) | XArray + no dask | **2.265** | 2.191 | 0.696 |
| 90 | 186M (4) | XArray + 1000 t chunks | **1.632** | 2.363 | 1.778 |
| 90 | 186M (4) | XArray + 200 t chunks | **1.424** | 1.661 | 2.805 |
| 90 | 186M (4) | XArray + 100 t chunks | **1.424** | 1.615 | 3.033 |
| 90 | 186M (4) | XArray + 50 t chunks | **1.715** | 3.102 | 3.300 |
| 90 | 186M (4) | XArray + 20 t chunks | **1.547** | 1.583 | 0.319 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 90 | 186M (4) | Julia | **7.896** | 7.201 | 0.564 |
| 90 | 186M (4) | CDO | **7.704** | 3.027 | 8.352 |
| 90 | 186M (4) | CDO + serial IO | **3.053** | 2.014 | 2.284 |
| 90 | 186M (4) | NCL | **4.844** | 4.142 | 0.509 |
| 90 | 186M (4) | NCO | **5.197** | 4.690 | 0.488 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 120 | 330M (3) | XArray + no dask | **2.995** | 2.618 | 1.045 |
| 120 | 330M (3) | XArray + 1000 t chunks | **2.157** | 4.810 | 1.903 |
| 120 | 330M (3) | XArray + 200 t chunks | **2.042** | 2.910 | 4.854 |
| 120 | 330M (3) | XArray + 100 t chunks | **2.159** | 2.944 | 5.407 |
| 120 | 330M (3) | XArray + 50 t chunks | **2.243** | 3.065 | 5.751 |
| 120 | 330M (3) | XArray + 20 t chunks | **2.237** | 2.991 | 5.775 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 120 | 330M (3) | Julia | **12.211** | 8.272 | 1.046 |
| 120 | 330M (3) | CDO | **7.907** | 3.790 | 8.209 |
| 120 | 330M (3) | CDO + serial IO | **5.228** | 3.332 | 3.857 |
| 120 | 330M (3) | NCL | **9.583** | 8.049 | 1.297 |
| 120 | 330M (3) | NCO | **9.200** | 8.290 | 0.870 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 120 | 330M (4) | XArray + no dask | **2.690** | 2.523 | 0.980 |
| 120 | 330M (4) | XArray + 1000 t chunks | **2.172** | 3.138 | 3.094 |
| 120 | 330M (4) | XArray + 200 t chunks | **1.980** | 2.863 | 4.055 |
| 120 | 330M (4) | XArray + 100 t chunks | **2.115** | 3.760 | 4.134 |
